783	we				
784	ir				
785	fc				
786	ec				
787	cz				
788	gr				
789	ot				
790	bl				
791	cm				
792	fn				
793	kh				
794	pe				
795	gb				
796	pk				
797	Tupinambá				
798	Quechua II-B				
799	ft				
800	pu				
801	kp				
802	gi				
803	mv				
804	tv				
805	pp				
806	Karo				
807	Malawi				
808	Malaita				
809	Bintulu				
810	Papuan				
811	Kirangi				
812	NC French				
813	Kumaon				
814	Himachal				
815	Potuguese				
816	Arabian				
817	Tuareg				
818	Kenyah				
819	Murut				
820	Maluku				
821	il				
822	jp				
823	ma				
824	er				
825	iq				
